,N,T,Tnorm,custo
0,2.0,450265,0.31020240850970016,0.6204048170194003
1,2.0,189064,0.1302524250440917,0.2605048500881834
2,2.0,929968,0.6406856261022927,1.2813712522045855
3,2.0,801503,0.5521818507495591,1.1043637014991181
4,2.0,917039,0.6317784115961199,1.2635568231922398
5,2.0,145478,0.10022459215167548,0.20044918430335096
6,2.0,1229286,0.846895667989418,1.693791335978836
7,2.0,471522,0.3248470568783069,0.6496941137566138
8,2.0,1940303,1.3367387290564374,2.673477458112875
9,2.0,1172518,0.8077863205467373,1.6155726410934745
10,2.0,923279,0.6360773533950618,1.2721547067901235
11,2.0,660520,0.455054012345679,0.910108024691358
12,2.0,306685,0.21128541115520283,0.42257082231040566
13,2.0,119033,0.08200575947971782,0.16401151895943564
14,2.0,188850,0.13010499338624337,0.26020998677248675
15,2.0,1208091,0.8322937334656084,1.6645874669312168
16,2.0,41507,0.02859554122574956,0.05719108245149912
17,2.0,371724,0.25609292328042327,0.5121858465608465
18,2.0,362985,0.25007233796296297,0.5001446759259259
19,2.0,1424323,0.9812630897266313,1.9625261794532627
20,2.0,493592,0.3400518077601411,0.6801036155202822
21,2.0,1161083,0.7999083719135802,1.5998167438271604
22,2.0,385707,0.2657262731481482,0.5314525462962963
23,2.0,942298,0.6491801697530865,1.298360339506173
24,2.0,1118483,0.7705598269400352,1.5411196538800704
25,2.0,353476,0.24352127425044093,0.48704254850088186
26,2.0,92759,0.06390473434744268,0.12780946869488535
27,2.0,182458,0.12570133377425044,0.2514026675485009
28,2.0,828596,0.5708471119929454,1.1416942239858907
29,2.0,523004,0.36031470458553794,0.7206294091710759
30,2.0,338250,0.2330315806878307,0.4660631613756614
31,2.0,810277,0.5582265487213404,1.1164530974426807
32,2.0,217970,0.1501667217813051,0.3003334435626102
33,2.0,207054,0.14264632936507937,0.28529265873015874
34,2.0,2030297,1.398738563712522,2.797477127425044
35,2.0,382219,0.26332327491181656,0.5266465498236331
36,2.0,477085,0.3286795910493827,0.6573591820987654
37,2.0,721371,0.49697627314814813,0.9939525462962963
38,2.0,3266215,2.250203235229277,4.500406470458554
39,2.0,54493,0.03754202491181658,0.07508404982363316
40,2.0,327521,0.22564001873897707,0.45128003747795414
41,2.0,1355559,0.9338893022486773,1.8677786044973546
42,2.0,1467183,1.0107907572751322,2.0215815145502645
43,2.0,417714,0.28777695105820106,0.5755539021164021
44,2.0,390301,0.26889123126102293,0.5377824625220459
45,2.0,727343,0.5010905809082893,1.0021811618165786
46,2.0,752313,0.5182932374338625,1.036586474867725
47,2.0,92445,0.06368840939153439,0.12737681878306878
48,2.0,42045,0.02896618716931217,0.05793237433862434
49,2.0,595061,0.4099571483686067,0.8199142967372134
50,2.0,58431,0.04025504298941799,0.08051008597883598
51,2.0,43874,0.030226245590828923,0.060452491181657846
52,2.0,429008,0.2955577601410935,0.591115520282187
53,2.0,281559,0.1939752810846561,0.3879505621693122
54,2.0,436570,0.300767471340388,0.601534942680776
55,2.0,1356665,0.9346512621252204,1.8693025242504409
56,2.0,267550,0.18432401895943562,0.36864803791887124
57,2.0,254330,0.17521632495590828,0.35043264991181655
58,2.0,1663087,1.1457554839065256,2.291510967813051
59,2.0,252208,0.17375440917107585,0.3475088183421517
60,2.0,778799,0.5365403163580247,1.0730806327160494
61,2.0,28667,0.019749641754850087,0.039499283509700174
62,2.0,4129133,2.8446959049823635,5.689391809964727
63,2.0,1215951,0.8377087466931217,1.6754174933862434
64,2.0,138394,0.09534419091710758,0.19068838183421516
65,2.0,871763,0.6005862819664903,1.2011725639329807
66,2.0,111191,0.07660314704585539,0.15320629409171077
67,2.0,954900,0.6578621031746031,1.3157242063492063
68,2.0,48621,0.033496610449735446,0.06699322089947089
69,2.0,326713,0.22508336089065256,0.4501667217813051
70,2.0,1321923,0.9107163525132275,1.821432705026455
71,2.0,26045,0.017943259479717814,0.03588651895943563
72,2.0,84727,0.058371224647266316,0.11674244929453263
73,2.0,549552,0.37860449735449736,0.7572089947089947
74,2.0,446129,0.30735298170194003,0.6147059634038801
75,2.0,389015,0.26800526344797176,0.5360105268959435
76,2.0,136637,0.09413373567019401,0.18826747134038802
77,2.0,30639,0.02110821759259259,0.04221643518518518
78,2.0,3662485,2.523206707451499,5.046413414902998
79,2.0,204215,0.14069044863315697,0.28138089726631393
80,2.0,175575,0.12095940806878307,0.24191881613756613
81,2.0,619376,0.4267085537918871,0.8534171075837742
82,2.0,922507,0.6355454971340389,1.2710909942680777
83,2.0,361239,0.24886946097883597,0.49773892195767194
84,2.0,939381,0.6471705522486773,1.2943411044973545
85,2.0,14368,0.009898589065255732,0.019797178130511465
86,2.0,287155,0.19783055004409172,0.39566110008818345
87,2.0,447898,0.3085717041446208,0.6171434082892416
88,2.0,331728,0.2285383597883598,0.4570767195767196
89,2.0,1105138,0.761366016313933,1.522732032627866
90,2.0,496381,0.3419732418430335,0.683946483686067
91,2.0,228537,0.15744667658730158,0.31489335317460315
92,2.0,616653,0.42483258928571427,0.8496651785714285
93,2.0,668093,0.46027130180776016,0.9205426036155203
94,2.0,1178439,0.8118654927248677,1.6237309854497355
95,2.0,169059,0.11647032076719577,0.23294064153439153
96,2.0,215099,0.14818879519400352,0.29637759038800704
97,2.0,212507,0.14640308090828924,0.2928061618165785
98,2.0,392948,0.2707148368606702,0.5414296737213404
