Palavras,Solucoes
"('-', '-', 't', 'w', 'o', 'w', 't', 'o', '-')",105
"('-', 't', 'w', 't', 'o', 'w', 'o', '-', '-')",53
"('-', 'w', 't', 't', 'o', 'o', '-', 'w', '-')",75
"('w', 't', 't', '-', '-', 'o', 'o', 'w', '-')",57
"('o', '-', '-', 'w', 't', 'w', '-', 't', 'o')",95
"('o', '-', 'w', '-', 't', 'o', 't', '-', 'w')",0
"('-', 'w', 'o', '-', 'o', '-', 'w', 't', 't')",46
"('-', 't', 't', 'w', 'o', '-', '-', 'w', 'o')",67
"('-', '-', 't', 'w', 'w', 'o', '-', 't', 'o')",90
"('t', 'o', 't', 'o', '-', 'w', '-', '-', 'w')",0
"('w', 'o', '-', '-', 'w', '-', 'o', 't', 't')",52
"('w', '-', 'w', 't', 't', '-', '-', 'o', 'o')",99
"('w', 't', 'o', 'o', '-', '-', 't', '-', 'w')",69
"('t', 'o', 'o', '-', '-', 't', 'w', '-', 'w')",36
"('o', 't', 'o', '-', 't', '-', 'w', '-', 'w')",38
"('t', 'o', 'w', '-', 'w', 'o', 't', '-', '-')",0
"('o', '-', '-', 't', 'w', 'o', 't', 'w', '-')",0
"('-', 'w', '-', 't', 'w', 'o', '-', 'o', 't')",54
"('w', 'w', '-', 't', '-', 't', 'o', '-', 'o')",33
"('-', '-', 'o', 't', 'o', '-', 'w', 'w', 't')",71
"('-', 't', 'o', 'w', 't', '-', 'o', 'w', '-')",76
"('-', '-', 't', 't', 'o', 'w', '-', 'w', 'o')",72
"('w', 't', 'o', 't', '-', '-', 'w', '-', 'o')",0
"('w', 't', 'o', '-', 'o', '-', '-', 't', 'w')",75
"('w', 't', 'o', 'o', '-', '-', 'w', '-', 't')",0
"('w', 't', 'w', '-', 'o', '-', '-', 't', 'o')",0
"('w', 'w', '-', '-', '-', 't', 't', 'o', 'o')",93
"('-', 'o', 't', 'o', 't', '-', 'w', 'w', '-')",33
"('t', 'o', '-', 'o', 'w', 'w', 't', '-', '-')",0
"('-', '-', 't', 'w', 'o', '-', 'w', 'o', 't')",0
"('-', 't', 't', 'w', '-', 'w', 'o', '-', 'o')",36
"('-', 'w', 'o', 't', 'w', 'o', '-', 't', '-')",59
"('w', 't', '-', '-', 'o', 'w', 't', 'o', '-')",65
"('-', 't', 'w', 'w', 'o', 'o', 't', '-', '-')",69
"('t', '-', 't', 'w', '-', 'o', 'w', '-', 'o')",0
"('t', 'o', '-', 'w', '-', 'o', '-', 't', 'w')",50
"('-', 'w', 'o', '-', 'o', 'w', '-', 't', 't')",200
"('w', '-', '-', 't', 't', 'w', 'o', '-', 'o')",33
"('w', '-', 't', 'o', 't', 'w', '-', 'o', '-')",58
"('-', 'w', 'o', 'o', 't', '-', 'w', 't', '-')",65
"('-', 't', 'w', 't', 'o', '-', '-', 'o', 'w')",0
"('w', 't', '-', 't', '-', '-', 'w', 'o', 'o')",0
"('w', '-', '-', 'o', 't', 't', '-', 'w', 'o')",50
"('w', '-', 'w', '-', '-', 't', 't', 'o', 'o')",74
"('t', 'o', '-', 'w', '-', 'w', 'o', 't', '-')",45
"('o', 't', '-', 'w', '-', 't', '-', 'o', 'w')",50
"('t', '-', 'w', '-', '-', 'w', 'o', 't', 'o')",58
"('-', 'o', 'w', '-', '-', 'w', 'o', 't', 't')",42
"('o', '-', '-', 'w', 'o', 't', 't', '-', 'w')",72
"('o', 'w', 't', 'o', 'w', '-', '-', '-', 't')",100
"('o', 'w', '-', 'o', 'w', '-', '-', 't', 't')",60
"('-', 'o', 'o', 't', '-', 't', '-', 'w', 'w')",21
"('w', '-', 't', '-', 't', 'o', 'w', 'o', '-')",0
"('-', 't', 'o', '-', 'w', 'o', 'w', '-', 't')",62
"('o', 'w', 't', 't', '-', '-', 'o', '-', 'w')",0
"('o', 'w', 't', '-', '-', '-', 't', 'o', 'w')",76
"('w', '-', '-', 'o', 'w', 'o', 't', '-', 't')",33
"('t', 'o', 'w', '-', 'o', 't', '-', '-', 'w')",0
"('o', 't', '-', 'w', 'o', 't', '-', 'w', '-')",56
"('t', 'w', 'w', '-', 't', 'o', '-', 'o', '-')",58
"('w', 'w', '-', 't', 'o', '-', 'o', 't', '-')",36
"('o', 't', '-', 'w', 'w', '-', '-', 't', 'o')",0
"('o', '-', '-', '-', 't', 'o', 't', 'w', 'w')",70
"('o', 'o', 't', '-', 'w', 't', 'w', '-', '-')",53
"('-', 'o', '-', 't', 'w', 'w', 'o', '-', 't')",46
"('t', 'o', '-', 't', 'w', '-', 'w', '-', 'o')",72
"('-', '-', 'o', 't', '-', 'w', 'w', 't', 'o')",0
"('w', '-', '-', 'o', 'w', 't', 'o', '-', 't')",0
"('t', '-', 'o', '-', 't', 'w', 'o', 'w', '-')",63
"('-', '-', 'w', 'w', 't', 'o', '-', 'o', 't')",72
"('t', '-', 'o', 'w', 't', 'w', 'o', '-', '-')",86
"('-', 't', 'o', '-', 'o', '-', 't', 'w', 'w')",46
"('w', '-', '-', 't', 'o', 'w', 't', 'o', '-')",0
"('t', '-', '-', 'w', 't', 'w', 'o', 'o', '-')",36
"('o', 't', '-', 'w', '-', 't', '-', 'w', 'o')",50
"('-', 'o', 'o', 't', 'w', 'w', 't', '-', '-')",0
"('-', '-', 'w', 't', 'o', 't', 'w', '-', 'o')",86
"('o', 't', 'w', '-', 'w', 'o', '-', '-', 't')",71
"('-', 't', 'o', 't', '-', '-', 'o', 'w', 'w')",93
"('t', 'o', 'o', 'w', 'w', '-', '-', '-', 't')",66
"('-', 't', '-', 'w', 't', '-', 'w', 'o', 'o')",0
"('t', '-', 'w', '-', 'o', 't', 'o', '-', 'w')",0
"('t', 'o', '-', '-', 'w', '-', 'w', 'o', 't')",60
"('w', 'o', '-', 't', '-', 'w', 'o', 't', '-')",45
"('t', 'o', 'o', '-', 't', 'w', '-', 'w', '-')",58
"('w', '-', 'o', 't', 'o', '-', 'w', 't', '-')",0
"('-', 'w', 'o', '-', 'w', 'o', 't', '-', 't')",52
"('w', 't', 'o', 'o', 'w', '-', '-', 't', '-')",0
"('o', 'w', 't', 'w', '-', 't', '-', 'o', '-')",66
"('w', 'o', 'o', 't', '-', '-', 't', '-', 'w')",0
"('w', 'o', 'w', 't', '-', '-', 't', '-', 'o')",0
"('-', 't', 't', '-', 'w', 'o', 'w', 'o', '-')",48
"('w', 'o', '-', 'w', 'o', 't', '-', '-', 't')",100
