,palavra,solucao
0,"['e', 'm', 'e', '-', 'n', 'o', '-', '-', 'm', '-', 'o', 'e', 'n']",0.0
1,"['o', 'e', '-', 'n', 'e', '-', 'o', '-', 'n', 'm', '-', 'e', 'm']",18.0
2,"['e', '-', 'e', 'n', 'e', 'n', 'o', '-', '-', '-', 'o', 'm', 'm']",5.0
3,"['-', 'o', '-', 'o', 'e', 'n', '-', '-', 'm', 'm', 'e', 'e', 'n']",14.0
4,"['o', 'e', 'm', '-', 'n', 'm', '-', 'o', 'e', '-', 'n', 'e', '-']",13.0
5,"['o', 'm', 'e', 'o', 'e', 'e', '-', 'n', 'm', '-', 'n', '-', '-']",9.0
6,"['m', '-', '-', 'e', 'm', 'e', 'o', '-', 'n', 'n', 'e', 'o', '-']",0.0
7,"['n', 'o', 'e', 'm', '-', '-', '-', '-', 'o', 'e', 'n', 'm', 'e']",21.0
8,"['e', 'o', '-', 'm', '-', 'e', 'n', 'o', '-', '-', 'm', 'n', 'e']",9.0
9,"['m', 'n', '-', '-', 'e', '-', 'e', 'o', '-', 'o', 'n', 'm', 'e']",9.0
10,"['e', 'o', '-', '-', 'n', 'n', 'm', '-', '-', 'e', 'm', 'e', 'o']",8.0
11,"['-', 'o', '-', 'o', 'm', '-', 'e', 'e', 'm', 'e', 'n', 'n', '-']",0.0
12,"['-', '-', 'o', 'n', '-', 'e', 'm', 'm', 'e', '-', 'o', 'e', 'n']",0.0
13,"['-', 'e', 'n', 'o', 'm', 'm', '-', 'e', '-', '-', 'o', 'e', 'n']",17.0
14,"['e', '-', 'o', 'n', '-', 'm', 'n', 'e', 'm', 'e', '-', '-', 'o']",0.0
15,"['o', '-', 'm', '-', 'e', 'e', 'n', 'e', 'n', '-', 'o', '-', 'm']",18.0
16,"['n', '-', 'm', 'o', '-', 'e', 'e', '-', 'n', 'e', '-', 'o', 'm']",0.0
17,"['n', 'e', '-', 'n', 'e', 'e', 'm', '-', 'm', '-', 'o', 'o', '-']",11.0
18,"['o', 'n', 'n', 'e', 'm', 'o', '-', 'e', 'e', '-', '-', '-', 'm']",3.0
19,"['e', 'e', '-', 'o', 'n', 'o', '-', 'm', 'n', '-', '-', 'm', 'e']",6.0
20,"['n', '-', 'm', '-', 'n', '-', 'e', '-', 'm', 'o', 'o', 'e', 'e']",0.0
21,"['-', 'm', '-', 'e', 'n', '-', '-', 'm', 'e', 'o', 'n', 'o', 'e']",22.0
22,"['e', 'e', 'o', '-', 'o', '-', 'e', 'n', '-', 'm', '-', 'm', 'n']",18.0
23,"['o', 'm', 'e', '-', 'n', 'o', '-', 'e', 'e', '-', '-', 'n', 'm']",16.0
24,"['-', '-', 'n', 'n', 'e', 'o', 'o', '-', 'm', '-', 'm', 'e', 'e']",5.0
25,"['e', 'm', 'n', 'o', 'm', '-', '-', '-', 'e', 'e', 'n', '-', 'o']",30.0
26,"['o', 'e', 'e', '-', 'o', 'e', '-', 'n', '-', 'm', 'm', '-', 'n']",18.0
27,"['n', 'o', '-', 'o', 'e', 'm', 'n', 'e', 'm', '-', 'e', '-', '-']",13.0
28,"['e', '-', '-', 'o', 'e', 'n', 'o', 'm', 'e', '-', '-', 'm', 'n']",0.0
29,"['-', '-', 'n', 'n', 'm', 'e', 'e', '-', 'o', 'e', 'o', 'm', '-']",7.0
30,"['n', 'e', 'n', 'm', '-', '-', '-', 'e', 'o', 'm', '-', 'o', 'e']",26.0
31,"['o', '-', '-', 'm', 'e', '-', 'n', 'e', '-', 'm', 'n', 'e', 'o']",4.0
32,"['-', 'm', 'e', '-', '-', 'n', 'e', 'o', 'm', 'o', 'n', 'e', '-']",0.0
33,"['o', 'n', 'e', '-', '-', '-', 'e', 'm', '-', 'm', 'n', 'o', 'e']",9.0
34,"['m', 'e', 'n', '-', 'o', '-', 'n', 'e', 'm', '-', 'e', 'o', '-']",0.0
