,palavra,solucao
0,"['e', 'o', 'e', '-', 'o', '-', 'm', '-', '-', 'n', 'e', 'n', 'm']",10.0
1,"['-', 'e', 'n', '-', 'm', '-', 'n', '-', 'e', 'o', 'e', 'o', 'm']",16.0
2,"['e', 'e', 'e', 'o', 'm', '-', 'n', 'm', '-', 'n', '-', '-', 'o']",0.0
3,"['-', '-', '-', 'n', 'e', 'e', '-', 'e', 'm', 'o', 'o', 'n', 'm']",14.0
4,"['o', 'e', '-', 'n', 'm', 'e', 'e', '-', 'n', 'o', '-', '-', 'm']",11.0
5,"['e', 'n', 'o', 'e', 'm', '-', 'e', '-', 'o', 'm', 'n', '-', '-']",0.0
6,"['o', 'e', '-', 'e', 'o', '-', 'm', '-', '-', 'e', 'm', 'n', 'n']",11.0
7,"['n', 'm', '-', '-', '-', 'e', 'o', 'm', 'e', 'n', 'o', 'e', '-']",0.0
8,"['n', 'o', 'e', '-', 'o', 'e', '-', 'm', 'e', 'n', 'm', '-', '-']",0.0
9,"['n', 'e', 'e', 'n', '-', '-', 'm', 'o', 'e', 'o', 'm', '-', '-']",13.0
10,"['o', '-', 'm', 'e', 'o', 'm', '-', 'n', 'n', '-', 'e', 'e', '-']",4.0
11,"['n', 'n', 'e', 'm', '-', 'o', '-', 'm', '-', 'o', '-', 'e', 'e']",20.0
12,"['m', '-', '-', 'o', '-', 'o', 'e', 'n', 'm', 'e', 'n', '-', 'e']",5.0
13,"['e', '-', 'n', 'o', '-', 'n', '-', 'm', 'm', 'e', '-', 'e', 'o']",0.0
14,"['m', 'o', 'e', 'm', '-', 'n', 'e', 'o', '-', 'n', 'e', '-', '-']",6.0
15,"['-', 'm', 'm', 'o', 'e', '-', 'e', 'n', '-', 'n', 'e', 'o', '-']",4.0
16,"['e', 'm', 'm', 'e', '-', 'e', 'n', '-', '-', 'n', 'o', 'o', '-']",5.0
17,"['o', 'n', '-', '-', 'e', 'n', 'm', 'e', 'e', 'o', 'm', '-', '-']",0.0
18,"['m', '-', '-', 'n', 'e', '-', '-', 'e', 'o', 'o', 'm', 'e', 'n']",0.0
19,"['m', '-', '-', '-', 'e', 'o', 'o', 'e', 'n', '-', 'e', 'm', 'n']",13.0
20,"['-', 'e', 'o', '-', 'o', '-', 'n', '-', 'e', 'e', 'm', 'm', 'n']",16.0
21,"['e', '-', 'm', '-', '-', 'n', 'e', 'e', 'o', '-', 'o', 'n', 'm']",8.0
22,"['n', 'e', 'n', 'e', '-', '-', 'o', '-', '-', 'm', 'm', 'o', 'e']",0.0
23,"['-', 'o', '-', 'n', 'o', '-', 'n', 'm', 'e', 'm', 'e', 'e', '-']",7.0
24,"['n', 'o', '-', '-', 'e', 'm', 'e', 'm', 'o', 'e', 'n', '-', '-']",0.0
25,"['-', 'm', 'n', '-', 'e', 'm', '-', 'o', 'e', '-', 'n', 'o', 'e']",4.0
26,"['m', '-', 'o', 'o', '-', 'n', '-', 'm', '-', 'e', 'e', 'e', 'n']",15.0
27,"['-', 'n', 'n', 'm', 'o', 'e', 'm', 'e', '-', 'e', '-', '-', 'o']",11.0
28,"['m', '-', 'e', 'n', '-', 'e', 'n', '-', 'm', 'o', 'o', 'e', '-']",12.0
29,"['o', 'e', '-', 'm', '-', 'n', 'o', 'e', 'n', '-', '-', 'm', 'e']",19.0
30,"['-', 'o', 'o', '-', 'm', 'e', '-', 'n', 'm', 'n', 'e', '-', 'e']",0.0
31,"['-', '-', 'n', 'm', '-', 'e', 'n', 'm', 'o', 'o', 'e', '-', 'e']",34.0
32,"['m', 'e', 'n', 'm', 'o', 'o', '-', '-', 'e', '-', 'e', 'n', '-']",0.0
33,"['-', '-', '-', 'n', 'm', 'o', 'm', 'e', '-', 'e', 'n', 'e', 'o']",10.0
34,"['-', '-', 'n', 'e', 'm', 'm', 'o', '-', '-', 'o', 'e', 'e', 'n']",12.0
35,"['-', '-', 'o', '-', 'm', 'n', 'e', 'n', 'o', 'e', 'm', 'e', '-']",0.0
36,"['e', 'm', '-', 'e', 'n', '-', 'm', '-', 'o', '-', 'e', 'o', 'n']",13.0
37,"['o', 'm', 'm', 'e', 'e', '-', 'o', 'n', 'e', 'n', '-', '-', '-']",0.0
38,"['e', 'o', '-', '-', 'n', '-', 'm', 'e', 'n', 'o', '-', 'm', 'e']",0.0
39,"['o', 'n', '-', 'm', '-', 'm', 'o', '-', 'n', 'e', '-', 'e', 'e']",7.0
40,"['m', '-', 'n', 'n', 'e', '-', 'm', 'e', 'o', 'e', 'o', '-', '-']",4.0
41,"['o', 'e', '-', 'o', 'n', '-', 'e', 'e', 'm', 'm', '-', '-', 'n']",27.0
42,"['e', 'e', 'n', 'o', '-', 'm', 'o', '-', '-', 'n', 'e', '-', 'm']",18.0
43,"['m', '-', '-', 'n', 'o', 'e', 'o', 'e', 'n', '-', 'm', '-', 'e']",0.0
44,"['-', 'o', 'o', 'e', '-', 'e', 'm', 'n', 'm', '-', 'e', '-', 'n']",0.0
45,"['n', '-', '-', 'e', 'o', 'e', '-', 'e', 'm', 'm', 'n', 'o', '-']",34.0
46,"['o', 'e', 'e', '-', '-', 'n', 'e', '-', '-', 'o', 'n', 'm', 'm']",0.0
47,"['n', 'm', '-', 'o', '-', 'e', 'm', 'e', '-', '-', 'o', 'e', 'n']",6.0
48,"['e', 'n', '-', 'e', 'm', 'e', '-', '-', 'o', 'm', 'o', 'n', '-']",0.0
49,"['e', '-', 'n', '-', 'm', 'e', '-', 'm', 'o', 'n', 'e', 'o', '-']",13.0
