,palavra,solucao
0,"['-', '-', 'm', '-', 'e', 'o', 'n', 'm', 'e', '-', 'o', 'e', 'n']",6.0
1,"['-', 'n', 'e', '-', 'e', 'o', 'm', 'e', 'm', 'n', 'o', '-', '-']",45.0
2,"['e', 'n', '-', 'm', 'o', 'e', '-', 'o', 'm', '-', 'e', 'n', '-']",0.0
3,"['-', 'e', 'e', 'o', 'o', '-', 'm', 'm', '-', 'e', 'n', 'n', '-']",6.0
4,"['n', '-', '-', 'm', 'o', '-', 'o', 'm', 'e', '-', 'e', 'n', 'e']",0.0
5,"['o', 'e', '-', '-', 'o', 'm', 'e', 'm', 'n', '-', '-', 'e', 'n']",14.0
6,"['e', 'm', 'o', 'o', 'n', 'm', '-', 'n', '-', '-', 'e', '-', 'e']",14.0
7,"['-', 'm', '-', 'o', 'e', 'n', '-', 'n', 'e', 'o', '-', 'm', 'e']",0.0
8,"['-', 'n', 'o', 'n', '-', 'e', 'm', 'o', 'm', 'e', '-', 'e', '-']",20.0
9,"['n', 'e', 'm', 'e', 'o', 'n', 'm', 'o', '-', 'e', '-', '-', '-']",12.0
10,"['o', 'n', '-', 'n', '-', 'e', 'm', '-', '-', 'm', 'e', 'e', 'o']",7.0
11,"['-', '-', 'm', '-', 'n', 'm', 'n', 'e', 'e', '-', 'e', 'o', 'o']",15.0
12,"['e', 'o', 'n', 'm', '-', '-', 'o', 'e', 'n', '-', 'm', 'e', '-']",13.0
13,"['e', '-', 'm', '-', 'e', 'n', '-', 'e', 'o', 'm', 'n', 'o', '-']",15.0
14,"['m', 'o', '-', 'e', '-', 'e', 'e', 'n', '-', 'o', '-', 'm', 'n']",0.0
15,"['-', '-', 'e', 'n', 'o', 'n', '-', '-', 'e', 'm', 'e', 'o', 'm']",9.0
16,"['o', '-', '-', 'm', 'm', 'n', 'e', 'e', 'e', '-', 'n', 'o', '-']",36.0
17,"['e', 'm', '-', 'm', 'e', 'o', '-', 'n', 'e', 'n', '-', 'o', '-']",0.0
18,"['e', 'm', '-', 'e', 'n', 'o', 'e', '-', '-', 'o', '-', 'n', 'm']",11.0
